snapshot_version,cutoff_date,association_id,disease_code,pmid,subject_type,subject_id,source_field,evidence_text,evidence_start,evidence_end,confidence
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-002,AD,21996001,intervention,AD-R-002-I01,title,Chronic treatment with rivastigmine in patients with Alzheimer's disease: a study on primary motor cortex excitability tested by 5 Hz-repetitive transcranial magnetic stimulation.,0,179,high
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-002,AD,21996001,method_model,AD-R-002-M01,title,Chronic treatment with rivastigmine in patients with Alzheimer's disease: a study on primary motor cortex excitability tested by 5 Hz-repetitive transcranial magnetic stimulation.,0,179,high
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-002,AD,21996001,method_model,AD-R-002-M02,abstract,All patients underwent neuropsychological tests before and after receiving rivastigmine. rTMS data in patients were compared with those from age-matched healthy controls.,511,681,high
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-002,AD,21996001,outcome,AD-R-002-O01,abstract,"RESULTS: At baseline, RMT was significantly lower in patients than in controls whereas CSP duration and single MEP amplitude were similar in both groups.",682,835,high
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-002,AD,21996001,outcome,AD-R-002-O02,abstract,"In patients, rTMS failed to induce the normal MEP facilitation during the trains.",836,917,medium
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-002,AD,21996001,outcome,AD-R-002-O03,abstract,"Chronic rivastigmine intake significantly increased MEP amplitude after a single stimulus, whereas it left the other neurophysiological variables studied unchanged.",918,1082,high
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-002,AD,21996001,outcome,AD-R-002-O04,abstract,No significant correlation was found between patients' neuropsychological test scores and TMS measures.,1083,1186,high
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-002,AD,21996001,population,AD-R-002-P01,abstract,OBJECTIVE: To investigate changes in cortical excitability and short-term synaptic plasticity we delivered 5 Hz repetitive transcranial magnetic stimulation (rTMS) over the primary motor cortex in 11 patients with mild-to-moderate Alzheimer's disease (AD) before and after chronic therapy with rivastigmine.,0,307,high
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-005,AD,24300799,method_model,AD-R-005-M01,title,[Neuropsychological features of mixed Alzheimer's and vascular dementia].,0,73,high
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-005,AD,24300799,outcome,AD-R-005-O01,abstract,The comparison of results of the quantitative assessment of neuropsychological functions (total parameters of three blocks of the brain according to A.R.,359,512,medium
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-005,AD,24300799,outcome,AD-R-005-O02,abstract,Luria) in mixed dementia and AD revealed significant between-group differences at the stage of mild dementia.,513,622,high
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-005,AD,24300799,outcome,AD-R-005-O03,abstract,No differences was found between AD and moderate dementia.,623,681,medium
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-005,AD,24300799,population,AD-R-005-P01,abstract,"Neuropsychological syndrome was defined in 94 patients with mixed Alzheimer's/vascular dementia, 75 patients with vascular dementia and 114 patients with Alzheimer's disease (AD) without clinical signs of cerebrovascular disease.",0,229,high
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-005,AD,24300799,population,AD-R-005-P02,abstract,"Neuropsychological syndrome was defined in 94 patients with mixed Alzheimer's/vascular dementia, 75 patients with vascular dementia and 114 patients with Alzheimer's disease (AD) without clinical signs of cerebrovascular disease.",0,229,high
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-005,AD,24300799,population,AD-R-005-P03,abstract,"Neuropsychological syndrome was defined in 94 patients with mixed Alzheimer's/vascular dementia, 75 patients with vascular dementia and 114 patients with Alzheimer's disease (AD) without clinical signs of cerebrovascular disease.",0,229,high
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-006,AD,26049091,entity,AD-R-006-E01,abstract,reduced right insular volume,1011,1039,high
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-006,AD,26049091,geography,AD-R-006-G01,affiliation,"Columbia University Medical Center, New York, NY, United States",70,133,high
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-006,AD,26049091,method_model,AD-R-006-M01,abstract,using a Feeling of Knowing (FOK) task,642,679,high
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-006,AD,26049091,method_model,AD-R-006-M02,abstract,structural integrity of 14 bilateral neuroanatomic regions,862,920,high
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-006,AD,26049091,outcome,AD-R-006-O01,abstract,"Less accurate metamemory was associated only with reduced right insular volume (r=.41, p=.019).",961,1056,high
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-006,AD,26049091,population,AD-R-006-P01,abstract,including 14 with mild AD,728,753,high
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-006,AD,26049091,population,AD-R-006-P02,abstract,20 cognitively healthy older adults,758,793,high
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-007,AD,26890786,entity,AD-R-007-E01,title,Intranasal TAT-haFGF Improves Cognition and Amyloid-β Pathology in an AβPP/PS1 Mouse Model of Alzheimer's Disease.,0,114,high
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-007,AD,26890786,geography,AD-R-007-G01,affiliation,"Institute of Biomedicine & Department of Cell Biology, Jinan University, Guangzhou, China.",0,90,high
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-007,AD,26890786,intervention,AD-R-007-I01,title,Intranasal TAT-haFGF Improves Cognition and Amyloid-β Pathology in an AβPP/PS1 Mouse Model of Alzheimer's Disease.,0,114,high
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-007,AD,26890786,method_model,AD-R-007-M01,title,Intranasal TAT-haFGF Improves Cognition and Amyloid-β Pathology in an AβPP/PS1 Mouse Model of Alzheimer's Disease.,0,114,high
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-007,AD,26890786,outcome,AD-R-007-O01,title,Intranasal TAT-haFGF Improves Cognition and Amyloid-β Pathology in an AβPP/PS1 Mouse Model of Alzheimer's Disease.,0,114,medium
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-007,AD,26890786,outcome,AD-R-007-O02,abstract,"Our results showed that IN administration of TAT-haFGF improved cognition and reduced Aβ plaques more significantly in AβPP/PS1 mice, when compared with IV injection.",400,566,high
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-007,AD,26890786,population,AD-R-007-P01,abstract,"Our results showed that IN administration of TAT-haFGF improved cognition and reduced Aβ plaques more significantly in AβPP/PS1 mice, when compared with IV injection.",400,566,high
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-009,AD,28503138,geography,AD-R-009-G01,affiliation,"Central Clinical Laboratory, Shimane University HospitalIzumo, Japan.",0,69,high
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-009,AD,28503138,method_model,AD-R-009-M01,abstract,"Feedback-related negativity (FRN) is an electrophysiological measure reflecting the activity of this monitoring system via feedback signals, and is generated from the anterior cingulate cortex.",167,360,high
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-009,AD,28503138,outcome,AD-R-009-O01,abstract,"Alzheimer's disease (AD), the most common cause of dementia in the elderly, results in the impairment of executive function, including that of performance monitoring.",0,166,medium
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-009,AD,28503138,outcome,AD-R-009-O02,abstract,"Based on prior aging studies, we hypothesized that FRN would decrease in AD patients.",411,496,medium
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-009,AD,28503138,outcome,AD-R-009-O03,abstract,"Contrary to our hypothesis, FRN amplitude increased in AD patients, compared with the healthy elderly.",651,753,medium
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-009,AD,28503138,outcome,AD-R-009-O04,abstract,"Also, there was a significant association between FRN amplitude and depression scores in AD, and the FRN amplitude tended to increase insomuch as the Self-rating Depression Scale (SDS) was higher.",874,1070,high
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-009,AD,28503138,population,AD-R-009-P01,abstract,"Based on prior aging studies, we hypothesized that FRN would decrease in AD patients.",411,496,medium
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-012,AD,31378059,entity,AD-R-012-E01,abstract,"We found that TPPU effectively prevents neuronal death by mitigating amyloid neurotoxicity, tau hyperphosphorylation, and mitochondrial dysfunction, promoting neurite outgrowth and suppressing activation and nuclear translocation of NF-κB for inflammatory responses in human nerve cells.",1210,1497,high
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-012,AD,31378059,entity,AD-R-012-E02,title,"1-Trifluoromethoxyphenyl-3-(1-propionylpiperidin-4-yl) Urea, a Selective and Potent Dual Inhibitor of Soluble Epoxide Hydrolase and p38 Kinase Intervenes in Alzheimer's Signaling in Human Nerve Cells.",0,200,high
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-012,AD,31378059,entity,AD-R-012-E03,abstract,"We found that TPPU effectively prevents neuronal death by mitigating amyloid neurotoxicity, tau hyperphosphorylation, and mitochondrial dysfunction, promoting neurite outgrowth and suppressing activation and nuclear translocation of NF-κB for inflammatory responses in human nerve cells.",1210,1497,high
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-012,AD,31378059,entity,AD-R-012-E04,abstract,Neuroinflammation is a prevalent pathogenic stress leading to neuronal death in AD.,72,155,high
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-012,AD,31378059,geography,AD-R-012-G01,affiliation,"Department of Molecular Biosciences and Bioengineering , University of Hawaii at Manoa , Honolulu , Hawaii 96822 , United States.",0,129,high
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-012,AD,31378059,intervention,AD-R-012-I01,title,"1-Trifluoromethoxyphenyl-3-(1-propionylpiperidin-4-yl) Urea, a Selective and Potent Dual Inhibitor of Soluble Epoxide Hydrolase and p38 Kinase Intervenes in Alzheimer's Signaling in Human Nerve Cells.",0,200,high
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-012,AD,31378059,method_model,AD-R-012-M01,abstract,"With an aim to develop multitarget therapeutics for neurodegenerative diseases, we screened TPPU against sEH from different mammalian species and a broad panel of human kinases in vitro for potential new targets relevant to neuroinflammation in AD.",626,874,high
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-012,AD,31378059,method_model,AD-R-012-M02,abstract,"To further elucidate the molecular mechanisms, differentiated SH-SY5Y human neuroblastoma cells were used as an AD cell model, and we investigated the neuroprotection of TPPU against amyloid oligomers.",1008,1209,high
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-012,AD,31378059,outcome,AD-R-012-O01,abstract,"To further elucidate the molecular mechanisms, differentiated SH-SY5Y human neuroblastoma cells were used as an AD cell model, and we investigated the neuroprotection of TPPU against amyloid oligomers.",1008,1209,medium
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-012,AD,31378059,outcome,AD-R-012-O02,abstract,"We found that TPPU effectively prevents neuronal death by mitigating amyloid neurotoxicity, tau hyperphosphorylation, and mitochondrial dysfunction, promoting neurite outgrowth and suppressing activation and nuclear translocation of NF-κB for inflammatory responses in human nerve cells.",1210,1497,medium
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-012,AD,31378059,outcome,AD-R-012-O03,abstract,"The results indicate that TPPU is a potent and selective dual inhibitor of sEH and p38β kinase, showing a synergistic action in multiple AD signaling pathways.",1498,1657,medium
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-015,AD,34118592,geography,AD-R-015-G01,affiliation,"Department of Radiology and Nuclear Medicine, Erasmus MC, Rotterdam, The Netherlands. Electronic address: [email redacted from public snapshot].",0,126,high
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-015,AD,34118592,method_model,AD-R-015-M01,title,Cross-cohort generalizability of deep and conventional machine learning for MRI-based diagnosis and prediction of Alzheimer's disease.,0,134,high
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-015,AD,34118592,method_model,AD-R-015-M02,title,Cross-cohort generalizability of deep and conventional machine learning for MRI-based diagnosis and prediction of Alzheimer's disease.,0,134,high
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-015,AD,34118592,outcome,AD-R-015-O01,title,Cross-cohort generalizability of deep and conventional machine learning for MRI-based diagnosis and prediction of Alzheimer's disease.,0,134,medium
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-015,AD,34118592,outcome,AD-R-015-O02,abstract,This work validates the generalizability of MRI-based classification of Alzheimer's disease (AD) patients and controls (CN) to an external data set and to the task of prediction of conversion to AD in individuals with mild cognitive impairment (MCI).,0,250,medium
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-015,AD,34118592,outcome,AD-R-015-O03,abstract,"Trained classifiers were subsequently applied to predict conversion to AD in ADNI MCI patients (231 converters, 628 non-converters) and in the independent Health-RI Parelsnoer Neurodegenerative Diseases Biobank data set.",643,863,medium
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-015,AD,34118592,outcome,AD-R-015-O04,abstract,AD-CN classification based on modulated GM maps resulted in a similar area-under-the-curve (AUC) for SVM (0.940; 95%CI: 0.924-0.955) and CNN (0.933; 95%CI: 0.918-0.948).,1117,1286,high
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-015,AD,34118592,population,AD-R-015-P01,abstract,"From this multi-center study representing a tertiary memory clinic population, we included 199 AD patients, 139 participants with subjective cognitive decline, 48 MCI patients converting to dementia, and 91 MCI patients who did not convert to dementia.",864,1116,high
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-017,AD,35344200,geography,AD-R-017-G01,affiliation,"School of Biomedical Engineering, Guangdong Medical University, Zhanjiang, 524023, China.",0,89,high
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-017,AD,35344200,method_model,AD-R-017-M01,abstract,"Thus, a reliable prediction of the conversion from MCI to AD based on three-dimensional (3D) texture features of MRI images could help doctors in developing effective treatment protocols.",110,297,high
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-017,AD,35344200,outcome,AD-R-017-O01,abstract,"Thus, a reliable prediction of the conversion from MCI to AD based on three-dimensional (3D) texture features of MRI images could help doctors in developing effective treatment protocols.",110,297,medium
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-017,AD,35344200,outcome,AD-R-017-O02,abstract,"RESULTS: The accuracy and the selected features are the focus of clinical diagnosis reports, indicating that the feature selection algorithm is effective.",830,984,medium
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-017,AD,35344200,population,AD-R-017-P01,abstract,BACKGROUND: Patients with mild cognitive impairment (MCI) are a high-risk group for Alzheimer's disease (AD).,0,109,medium
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-018,AD,38306048,entity,AD-R-018-E01,abstract,"BACKGROUND: Previous reports have demonstrated post-operative dementia and Alzheimer's disease (AD), and increased amyloid-β levels and tau hyperphosphorylation have been observed in animal models post-anesthesia.",0,213,high
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-018,AD,38306048,entity,AD-R-018-E02,title,Codon Pattern and Context Analysis in Genes Triggering Alzheimer's Disease and Latent Tau Protein Aggregation Post-Anesthesia Exhibited Unique Molecular Patterns Associated with Functional Aspects.,0,197,high
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-018,AD,38306048,entity,AD-R-018-E03,abstract,"The sequences were leucine-rich, and multiple leucine repeats were present, exhibiting the functional role of neuroprotection from neuroinflammation post-anesthesia.",1261,1426,high
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-018,AD,38306048,geography,AD-R-018-G01,affiliation,"Department of Anesthesiology, First Hospital of Shanxi Medical University, Taiyuan, China.",0,90,high
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-018,AD,38306048,outcome,AD-R-018-O01,title,Codon Pattern and Context Analysis in Genes Triggering Alzheimer's Disease and Latent Tau Protein Aggregation Post-Anesthesia Exhibited Unique Molecular Patterns Associated with Functional Aspects.,0,197,medium
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-018,AD,38306048,outcome,AD-R-018-O02,abstract,"RESULTS: The sequences' composition was G/C rich, influencing dinucleotide preference, codon preference, codon usage, and codon context.",776,912,medium
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-018,AD,38306048,outcome,AD-R-018-O03,abstract,"Contrarily, it correlated with the sequence lengths.",1208,1260,medium
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-018,AD,38306048,outcome,AD-R-018-O04,abstract,"The sequences were leucine-rich, and multiple leucine repeats were present, exhibiting the functional role of neuroprotection from neuroinflammation post-anesthesia.",1261,1426,medium
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-019,AD,40084666,entity,AD-R-019-E01,title,Association of Alzheimer's disease genetic risk with age-dependent changes in plasma amyloid-β42:40 in Veterans.,0,112,high
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-019,AD,40084666,geography,AD-R-019-G01,affiliation,"National Center for PTSD, Behavioral Sciences Division, VA Boston Healthcare System, Boston, MA, USA.",0,101,high
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-019,AD,40084666,outcome,AD-R-019-O01,abstract,"Hierarchical regression models investigated linear and nonlinear relationships between age, genetic risk, and Aβ42:40.ResultsWe observed a curvilinear relationship between age and Aβ42:40 in individuals with higher genetic risk, characterized by an increase in the Aβ42:40 during midlife followed by a decrease in older age.ConclusionsThese findings highlight distinct patterns in Aβ metabolism among genetically predisposed individuals, suggesting that early metabolic shifts may play a role in the progression of AD.",478,996,medium
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-019,AD,40084666,population,AD-R-019-P01,abstract,"BackgroundIdentifying biomarkers of Alzheimer's disease (AD) is critical for early diagnosis and AD risk assessment.ObjectiveWe examined the hypothesis that the plasma amyloid-β 42 and 40 (Aβ42:40) ratio has a curvilinear relationship with age among individuals who are at higher genetic risk for AD.MethodsThis study investigated the relationship between plasma amyloid-β 42 and 40 (Aβ42:40) ratio and age in 315 men and women Veterans, including those at genetic risk for AD.",0,477,medium
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-041,AD,20888846,geography,AD-R-041-G01,affiliation,Université Lille Nord de la France,0,34,high
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-041,AD,20888846,method_model,AD-R-041-M01,abstract,We used the Lille Communication Test,414,450,high
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-041,AD,20888846,method_model,AD-R-041-M02,abstract,analyse VC and NVC in patients,162,192,high
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-041,AD,20888846,outcome,AD-R-041-O01,abstract,"AD patients were partially impaired (p≤0.01) in PC (greeting), and more definitely in VC",841,929,high
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-041,AD,20888846,outcome,AD-R-041-O02,abstract,while NVC was mostly preserved.,1105,1136,high
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-041,AD,20888846,outcome,AD-R-041-O03,abstract,the profile of communication difficulties was quite different between groups.,1524,1601,high
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-041,AD,20888846,population,AD-R-041-P01,abstract,Alzheimer's disease (AD; 29 cases),280,314,high
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-041,AD,20888846,population,AD-R-041-P02,abstract,behavioural variant of frontotemporal dementia (FTD; 16),316,372,high
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-041,AD,20888846,population,AD-R-041-P03,abstract,dementia with Lewy bodies (DLB; 13),377,412,high
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-041,AD,20888846,population,AD-R-041-P04,abstract,Patients were compared with 47 matching control subjects.,783,840,high
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-043,AD,22551949,entity,AD-R-043-E01,abstract,Accumulated amyloid-β (Aβ) is a well-known cause of neuronal apoptosis in Alzheimer's disease and exerts its action partly by inducing mitochondrial dysfunction.,0,161,high
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-043,AD,22551949,entity,AD-R-043-E02,abstract,Accumulated amyloid-β (Aβ) is a well-known cause of neuronal apoptosis in Alzheimer's disease and exerts its action partly by inducing mitochondrial dysfunction.,0,161,high
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-043,AD,22551949,entity,AD-R-043-E03,title,Protective effects of diazoxide against Aβ₂₅₋₃₅-induced PC12 cell apoptosis due to prevention of endoplasmic reticulum stress.,0,126,high
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-043,AD,22551949,geography,AD-R-043-G01,affiliation,"Department of Neurology, Yantaishan Hospital, Yantai City bDepartment of Neurology, Yuhuangding Hospital Affiliated to Qingdao Medical University, Yantai City, Shandong 264000, People's Republic of China.",0,204,high
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-043,AD,22551949,intervention,AD-R-043-I01,title,Protective effects of diazoxide against Aβ₂₅₋₃₅-induced PC12 cell apoptosis due to prevention of endoplasmic reticulum stress.,0,126,high
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-043,AD,22551949,intervention,AD-R-043-I02,abstract,"Here we showed that in response to the treatment with Aβ₂₅₋₃₅ (10 μM) for 24 h the mRNA and protein expression levels of caspase-12 were significantly upregulated; however, this change could be partly reversed by pretreatment with diazoxide (1 mM) for 1 h.",699,955,medium
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-043,AD,22551949,method_model,AD-R-043-M01,title,Protective effects of diazoxide against Aβ₂₅₋₃₅-induced PC12 cell apoptosis due to prevention of endoplasmic reticulum stress.,0,126,high
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-043,AD,22551949,outcome,AD-R-043-O01,title,Protective effects of diazoxide against Aβ₂₅₋₃₅-induced PC12 cell apoptosis due to prevention of endoplasmic reticulum stress.,0,126,medium
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-043,AD,22551949,outcome,AD-R-043-O02,abstract,"Previous studies have suggested a neuroprotective role for mitochondrial ATP-sensitive potassium (KATP) channel openers against Aβ damages, but the molecular details were unclear.",162,341,medium
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-043,AD,22551949,outcome,AD-R-043-O03,abstract,It remains to be determined whether KATP channel openers mediate their potential neuroprotective role by inhibiting ER stress pathways.,470,605,medium
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-043,AD,22551949,outcome,AD-R-043-O04,abstract,"Here we showed that in response to the treatment with Aβ₂₅₋₃₅ (10 μM) for 24 h the mRNA and protein expression levels of caspase-12 were significantly upregulated; however, this change could be partly reversed by pretreatment with diazoxide (1 mM) for 1 h.",699,955,high
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-052,AD,30832390,geography,AD-R-052-G01,affiliation,"College of Nursing, University of Tennessee, Knoxville, TN 37996, USA. [email redacted from public snapshot].",0,88,high
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-052,AD,30832390,geography,AD-R-052-G02,affiliation,"University of Exeter Medical School, College of Medicine and Health, University of Exeter, Exeter EX1 1TX, UK. [email redacted from public snapshot].",185,318,high
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-052,AD,30832390,outcome,AD-R-052-O01,abstract,"More recently, caregiving has been associated with high rates of suicidal and homicidal ideation, but the research on these phenomena is limited.",230,375,medium
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-052,AD,30832390,outcome,AD-R-052-O02,abstract,RESULTS: Five themes related to thoughts of suicide and homicide by caregivers and people with ADRD were derived from the analysis: (1) end-of-life care; (2) thoughts of death and euthanasia by the person with ADRD; (3) surrogate decision making; (4) thoughts of suicide by the caregiver; and (5) thoughts of homicide and euthanasia by the caregiver.,738,1088,medium
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-052,AD,30832390,outcome,AD-R-052-O03,abstract,"CONCLUSIONS: The results capture the reality of suicidal and homicidal thoughts among family caregivers of people with ADRD, supporting calls for more research on these complex topics and highlighting the need for changes to clinical practice to prevent thoughts from becoming behaviors or actions.",1089,1387,medium
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-052,AD,30832390,population,AD-R-052-P01,title,"""Like Death is Near"": Expressions of Suicidal and Homicidal Ideation in the Blog Posts of Family Caregivers of People with Dementia.",0,132,medium
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-053,AD,33163613,entity,AD-R-053-E01,abstract,amyloid beta (Aβ) accumulation in DS,390,426,high
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-053,AD,33163613,entity,AD-R-053-E02,abstract,presence of brain tau,487,508,high
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-053,AD,33163613,entity,AD-R-053-E03,abstract,[18F]AV-1451 standard uptake value ratio,1258,1298,high
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-053,AD,33163613,entity,AD-R-053-E04,abstract,global [11C]PiB SUVR,1362,1382,high
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-053,AD,33163613,geography,AD-R-053-G01,affiliation,Department of Psychiatry University of Pittsburgh Pittsburgh Pennsylvania USA,0,77,high
ndro-mvp-v0.1.2-20260823,2026-08-23,AD-R-053,AD,33163613,geography,AD-R-053-G02,affiliation,Department of Psychiatry University of Cambridge Cambridge UK,319,380,high
